Date,NIFTY_Return_1D,NIFTY_Return_5D,NIFTY_Return_20D,NIFTY_SMA50,NIFTY_RSI
2015-07-15,0.008244543893853207,0.019221456735783127,0.053419927014425994,8289.42400390625,61.357223638211366
2015-07-16,0.009884089482447456,0.033559263803968786,0.05302396470201942,8300.43900390625,65.49371068237522
2015-07-17,0.00020908390731189108,0.029818589747258706,0.046796564711341304,8308.80599609375,65.57847899847147
2015-07-20,-0.0007432666484129546,0.016998315302350964,0.029970980551521587,8314.37,64.9673540797622
2015-07-21,-0.00860120048586066,0.008912904912303343,0.017645947834407094,8322.42,58.211871105953456
2015-07-22,0.012198887654526924,0.012869869990631777,0.032610368965287684,8330.38099609375,63.89652991012708
2015-07-23,-0.005061700968610694,-0.0021201085511914908,0.022838747878959342,8337.69298828125,60.19293250074148
2015-07-24,-0.00794547038951432,-0.010255673292057677,0.01675796755301584,8342.8769921875,54.8461041338677
2015-07-27,-0.01884044667546103,-0.028180577536741747,0.00512112994981706,8342.623984375,44.77119312035914
2015-07-28,-0.002870470039468942,-0.02256302468572524,-0.0037641154328732496,8342.0509765625,43.48524485094731
2015-07-29,0.004563968416396724,-0.029935738149360014,-0.00922743883003585,8341.08697265625,46.12716991150463
2015-07-30,0.005582056356707721,-0.019558080958804402,-0.002735448006366603,8341.10296875,49.26534535241534
2015-07-31,0.013185994355469077,0.001326026948910597,0.005651123353549226,8342.58095703125,55.84506705897579
2015-08-03,0.0011954031512864116,0.02177368791861012,0.0024523639110489714,8346.036953125,56.404336996864735
2015-08-04,-0.00306089917070973,0.02157855231198269,0.000716805244806773,8349.58796875,54.498588194320554
2015-08-05,0.005993941733038577,0.023032745490902506,0.02450067803137479,8354.25498046875,57.516394297828256
2015-08-06,0.002416003226048735,0.019811749246833488,0.03122999706276719,8359.64798828125,58.71218026383149
2015-08-07,-0.002800298085977815,0.003720914050227231,0.024406266268887755,8362.26697265625,56.714768182070515
2015-08-10,-0.004553627931107251,-0.002042618937200258,0.007795738086657122,8364.11095703125,53.534295578470335
2015-08-11,-0.007418833032042493,-0.006405004021186711,0.0009758579128700262,8368.6289453125,48.75869318545677
2015-08-12,-0.013341379081930671,-0.025502015653585453,-0.02045444676904773,8372.915947265625,41.62146933709299
2015-08-13,0.0007664473603414823,-0.027105630181910256,-0.02929818031201037,8377.41994140625,42.13848095037666
2015-08-14,0.01947141259339502,-0.005376760944795667,-0.01060411143396589,8385.49693359375,53.430702106398094
2015-08-17,-0.004842373519645449,-0.005665267770068372,-0.014662767582908964,8394.159931640625,50.72764744639865
2015-08-18,-0.0012680924643075908,0.0004963391382277749,-0.0073744953290855175,8403.0429296875,50.017489370678575
2015-08-19,0.0033780685872379923,0.01745027419820988,-0.016024741921005337,8410.45693359375,51.94501390154249
2015-08-20,-0.014408266481082843,0.0020225819533705724,-0.02526831935815954,8418.604931640624,44.10583689907955
2015-08-21,-0.008694849922367243,-0.02566159902648113,-0.02600461353322181,8424.9459375,40.21823565876856
